fsq_id,name,latitude,longitude,category_main_name,category_main_id,all_categories,address,locality,region,area_searched,price_tier,rating,popularity_score,tips_count
605a4997426f982f4cca266c,Little Tijuana,40.731566,-74.155259,Cocktail Bar,13009,"[{""id"": 13009, ""name"": ""Cocktail Bar"", ""short_name"": ""Cocktail"", ""plural_name"": ""Cocktail Bars"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_"", ""suffix"": "".png""}}, {""id"": 13016, ""name"": ""Lounge"", ""short_name"": ""Lounge"", ""plural_name"": ""Lounges"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/nightlife/default_"", ""suffix"": "".png""}}, {""id"": 13303, ""name"": ""Mexican Restaurant"", ""short_name"": ""Mexican"", ""plural_name"": ""Mexican Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/mexican_"", ""suffix"": "".png""}}]","538 Market St, Newark, NJ 07105",Newark,NJ,"Newark, NJ",,,0.9776065645651288,
4f32637c19836c91c7d2f5bf,Reideaveira,40.722412,-74.165957,Restaurant,13065,"[{""id"": 13065, ""name"": ""Restaurant"", ""short_name"": ""Restaurant"", ""plural_name"": ""Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}]","291 Jefferson St, Newark, NJ 07105",Newark,NJ,"Newark, NJ",,,0.8541764540073288,
53ab4819498ea40e46a0f4fb,Las Delicias Restaurant,40.751463,-74.170834,Mexican Restaurant,13303,"[{""id"": 13303, ""name"": ""Mexican Restaurant"", ""short_name"": ""Mexican"", ""plural_name"": ""Mexican Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/mexican_"", ""suffix"": "".png""}}, {""id"": 13345, ""name"": ""Spanish Restaurant"", ""short_name"": ""Spanish"", ""plural_name"": ""Spanish Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/spanish_"", ""suffix"": "".png""}}]","42 Broadway, Newark, NJ 07104",Newark,NJ,"Newark, NJ",2.0,,0.5029596918162172,
4f328a7d19836c91c7e1d9db,C & H Veal Co.,40.718496,-74.174608,Restaurant,13065,"[{""id"": 13065, ""name"": ""Restaurant"", ""short_name"": ""Restaurant"", ""plural_name"": ""Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}, {""id"": 17077, ""name"": ""Meat and Seafood Store"", ""short_name"": ""Meat and Seafood Store"", ""plural_name"": ""Meat and Seafood Stores"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_"", ""suffix"": "".png""}}]","77 Goble St, Newark, NJ 07114",Newark,NJ,"Newark, NJ",,,0.1763913683485233,
4dbed70dbd41634086125ba1,McDonald's,40.734926,-74.164181,Burger Joint,13031,"[{""id"": 13031, ""name"": ""Burger Joint"", ""short_name"": ""Burgers"", ""plural_name"": ""Burger Joints"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/burger_"", ""suffix"": "".png""}}, {""id"": 13145, ""name"": ""Fast Food Restaurant"", ""short_name"": ""Fast Food"", ""plural_name"": ""Fast Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/fastfood_"", ""suffix"": "".png""}}]","7944 Penn Station, Newark, NJ 07102",Newark,NJ,"Newark, NJ",1.0,5.0,0.9994049296877446,22.0
4c7d75c52079b71356c8e4f5,McDonald's,40.725611,-74.182338,Burger Joint,13031,"[{""id"": 13031, ""name"": ""Burger Joint"", ""short_name"": ""Burgers"", ""plural_name"": ""Burger Joints"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/burger_"", ""suffix"": "".png""}}, {""id"": 13145, ""name"": ""Fast Food Restaurant"", ""short_name"": ""Fast Food"", ""plural_name"": ""Fast Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/fastfood_"", ""suffix"": "".png""}}]","101 Clinton Ave, Newark, NJ 07114",Newark,NJ,"Newark, NJ",1.0,5.3,0.9979329136521657,3.0
613ac73fd598714dffccf2a8,Charito Supermarket,40.758351,-74.175326,Deli,13039,"[{""id"": 13039, ""name"": ""Deli"", ""short_name"": ""Deli"", ""plural_name"": ""Delis"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/deli_"", ""suffix"": "".png""}}]","146 Bloomfield Ave, Newark, NJ 07104",Newark,NJ,"Newark, NJ",1.0,,0.13899589714679444,
5918c457aa6c956919e17815,Blueberry Cafe' Juice Bar & Vegan Grille,40.749315,-74.196779,Café,13034,"[{""id"": 13034, ""name"": ""Caf\u00e9"", ""short_name"": ""Caf\u00e9"", ""plural_name"": ""Caf\u00e9s"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/cafe_"", ""suffix"": "".png""}}, {""id"": 13377, ""name"": ""Vegan and Vegetarian Restaurant"", ""short_name"": ""Vegan and Vegetarian Restaurant"", ""plural_name"": ""Vegan and Vegetarian Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/vegetarian_"", ""suffix"": "".png""}}]","547 Central Ave, Newark, NJ 07107",Newark,NJ,"Newark, NJ",1.0,,0.9738482257508848,
5b856ed3491be7002c103479,Gateway City Kitchen & Bar,40.713125,-74.164379,Dining and Drinking,13000,"[{""id"": 13000, ""name"": ""Dining and Drinking"", ""short_name"": ""Dining and Drinking"", ""plural_name"": ""Dining and Drinking"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}]","128 Frontage Rd (inside the Doubletree by Hilton), Newark, NJ 07114",Newark,NJ,"Newark, NJ",,,0.9948949231106518,
4d84fc2099b78cfa0665c41f,Bistro 128,40.712912,-74.164283,Buffet,13030,"[{""id"": 13030, ""name"": ""Buffet"", ""short_name"": ""Buffet"", ""plural_name"": ""Buffets"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}, {""id"": 13068, ""name"": ""American Restaurant"", ""short_name"": ""American"", ""plural_name"": ""American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}]","128 Frontage Rd (in Sheraton Newark Airport Hotel), Newark, NJ 07114",Newark,NJ,"Newark, NJ",2.0,,0.9728773215572051,
542c4be4498e2f39c3c5ef29,FirePit BBQ,40.717313,-74.151855,BBQ Joint,13026,"[{""id"": 13026, ""name"": ""BBQ Joint"", ""short_name"": ""BBQ"", ""plural_name"": ""BBQ Joints"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/bbqalt_"", ""suffix"": "".png""}}, {""id"": 13064, ""name"": ""Pizzeria"", ""short_name"": ""Pizza"", ""plural_name"": ""Pizzerias"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/pizza_"", ""suffix"": "".png""}}]","66 Stockton St (Wilson Ave), Newark, NJ 07105",Newark,NJ,"Newark, NJ",2.0,,0.6873062106548905,
5720cf8e498eec6c3a8b9f25,Pour Abbey's Bar & Grill,40.728087,-74.139085,Bar,13003,"[{""id"": 13003, ""name"": ""Bar"", ""short_name"": ""Bar"", ""plural_name"": ""Bars"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/nightlife/pub_"", ""suffix"": "".png""}}, {""id"": 13068, ""name"": ""American Restaurant"", ""short_name"": ""American"", ""plural_name"": ""American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}, {""id"": 13383, ""name"": ""Steakhouse"", ""short_name"": ""Steakhouse"", ""plural_name"": ""Steakhouses"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/steakhouse_"", ""suffix"": "".png""}}]","107 Hawkins St (Christie), Newark, NJ 07105",Newark,NJ,"Newark, NJ",2.0,,0.9755707977074133,
4e4c972dbd413c4cc66a8cae,People's Choice Restaurant,40.751081,-74.204764,American Restaurant,13068,"[{""id"": 13068, ""name"": ""American Restaurant"", ""short_name"": ""American"", ""plural_name"": ""American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}, {""id"": 13097, ""name"": ""Caribbean Restaurant"", ""short_name"": ""Caribbean"", ""plural_name"": ""Caribbean Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/caribbean_"", ""suffix"": "".png""}}, {""id"": 13199, ""name"": ""Indian Restaurant"", ""short_name"": ""Indian"", ""plural_name"": ""Indian Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/indian_"", ""suffix"": "".png""}}]","63 Central Ave, East Orange, NJ 07018",East Orange,NJ,"Newark, NJ",1.0,,0.9818660152212721,
5463bac3498ef61c7e67795c,Saison,40.696808,-74.178558,French Restaurant,13148,"[{""id"": 13148, ""name"": ""French Restaurant"", ""short_name"": ""French"", ""plural_name"": ""French Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/french_"", ""suffix"": "".png""}}, {""id"": 13314, ""name"": ""New American Restaurant"", ""short_name"": ""New American"", ""plural_name"": ""New American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/newamerican_"", ""suffix"": "".png""}}]","Newark Liberty Airport Terminal C (EWR Airport), Newark, NJ 07114",Newark,NJ,"Newark, NJ",3.0,5.7,0.9894766513201165,28.0
4baa3ff1f964a520a1573ae3,Checkers,40.745861,-74.189289,Burger Joint,13031,"[{""id"": 13031, ""name"": ""Burger Joint"", ""short_name"": ""Burgers"", ""plural_name"": ""Burger Joints"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/burger_"", ""suffix"": "".png""}}, {""id"": 13145, ""name"": ""Fast Food Restaurant"", ""short_name"": ""Fast Food"", ""plural_name"": ""Fast Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/fastfood_"", ""suffix"": "".png""}}]","111 Hartford St, Newark, NJ 07103",Newark,NJ,"Newark, NJ",1.0,4.9,0.9852485201540919,13.0
613ac82307e7540226f12831,Town Grocery Supermarket,40.723249,-74.211839,Deli,13039,"[{""id"": 13039, ""name"": ""Deli"", ""short_name"": ""Deli"", ""plural_name"": ""Delis"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/deli_"", ""suffix"": "".png""}}]","741 Clinton Ave, Newark, NJ 07108",Newark,NJ,"Newark, NJ",1.0,,0.8517648532681888,
